Time [s],Period,HomeHull,AwayHull
2.0,1.0,597.46401493024,810.521382738664
4.0,1.0,647.0238689416,944.5797024724479
6.0,1.0,668.716042839904,1061.5701850515438
8.0,1.0,657.826932297416,1236.5166113301038
10.0,1.0,684.343046954624,1470.1596490212642
12.0,1.0,786.413667859176,1676.742540549864
14.0,1.0,976.339106325328,1811.5655484909998
16.0,1.0,1064.9903094400638,1673.671596678688
18.0,1.0,1178.386959746496,1643.462010782528
20.0,1.0,1290.7014677270613,1526.138356948815
26.0,1.0,648.5769142058373,1346.2459776190026
28.0,1.0,660.862319349664,1503.4588019107919
30.0,1.0,825.965317881976,1722.381296570768
32.0,1.0,981.6249591430241,1912.4782167663038
34.0,1.0,1167.190382651272,1887.4195646754079
36.0,1.0,1162.749934565616,1684.284801264048
38.0,1.0,1181.778581050472,1611.9587343726398
40.0,1.0,1132.33950721356,1523.649807924016
42.0,1.0,958.48635916436,1117.771497038424
44.0,1.0,796.7654459394321,784.8083937056481
46.0,1.0,627.413253178696,716.3424204589201
48.0,1.0,610.381511640936,874.629113741384
50.0,1.0,720.352011252784,990.9486176128321
52.0,1.0,829.526672845592,1097.894494527552
54.0,1.0,942.9607684164961,1258.922952354728
56.0,1.0,1016.9570228353521,1342.480503258176
58.0,1.0,1037.7221637802559,1189.276858469368
60.0,1.0,1032.13376298324,1074.166310076504
62.0,1.0,923.2823187350239,961.748299877112
64.0,1.0,719.148781585952,853.3976576227681
66.0,1.0,626.8453405962641,694.429519068848
68.0,1.0,614.57406194552,608.9228273762881
70.0,1.0,531.51659109708,722.942078254944
72.0,1.0,557.8180749402879,943.861780518728
74.0,1.0,621.7322892927521,1144.8705288112642
76.0,1.0,610.799806563632,1176.2698150087122
78.0,1.0,691.427189000216,1350.96396922328
80.0,1.0,786.30747266908,1473.8941668793518
82.0,1.0,813.284199407864,1417.910653564808
84.0,1.0,779.548610234544,1327.21593899304
86.0,1.0,720.150349814808,1322.2119725884481
88.0,1.0,751.550238831712,1362.794743279704
90.0,1.0,849.433855475912,1393.2699017441919
92.0,1.0,962.241050275496,1448.734409880752
94.0,1.0,1019.994375862392,1339.4169561789358
96.0,1.0,1057.5959925222319,1144.590020185736
98.0,1.0,1078.441545850264,852.2785720720321
100.0,1.0,1144.551606057944,732.113060069104
102.0,1.0,1256.378898399032,738.9870334491361
104.0,1.0,1330.8157655970804,794.61771444288
106.0,1.0,1298.006593352648,832.921766156672
108.0,1.0,1295.915657436256,865.852012106936
110.0,1.0,1409.453966285576,840.858625039448
112.0,1.0,1399.775634499688,744.704827411168
114.0,1.0,1269.08158383624,646.214424503496
116.0,1.0,1103.4355204778722,551.648901458096
118.0,1.0,1105.934435306648,512.704813495808
120.0,1.0,1237.056245191408,611.328166968776
122.0,1.0,1150.491938665904,723.01414295236
124.0,1.0,1033.437133523816,802.686994384064
126.0,1.0,970.5075905363519,800.7948940597039
128.0,1.0,1031.233530880312,760.34524279556
130.0,1.0,1233.592869177264,808.580468742688
132.0,1.0,1487.089143637424,841.2306255514
134.0,1.0,1626.935954233368,792.6529311981519
136.0,1.0,1543.737109586872,718.668212548992
138.0,1.0,1409.240647796096,680.849485869136
140.0,1.0,1414.3719928162,718.66214868204
142.0,1.0,1365.9033545514962,742.844595968576
144.0,1.0,1163.512279826984,605.83996400312
146.0,1.0,991.038245539288,424.292773104096
148.0,1.0,938.954994957808,443.401762984312
150.0,1.0,864.5926601015601,510.62041687884
152.0,1.0,862.3620419389281,698.60653732996
154.0,1.0,862.982084449616,799.0841704053039
156.0,1.0,867.1611531776961,771.2987871132719
158.0,1.0,873.392054213136,675.7547143131121
160.0,1.0,918.674784437672,660.2726503130241
162.0,1.0,915.5782170779521,540.02834844056
164.0,1.0,866.384463470144,445.834238361408
166.0,1.0,799.684243815128,524.1935569167839
168.0,1.0,728.760882728712,585.388042697776
170.0,1.0,682.539934428656,488.602925015712
172.0,1.0,712.3344443651761,483.74755084636
174.0,1.0,832.3427327979359,573.008795285288
176.0,1.0,850.518806266832,496.60888984885605
178.0,1.0,850.495539109528,341.96041215672
180.0,1.0,905.84267216688,451.840551343528
182.0,1.0,930.30499389748,621.232252586656
184.0,1.0,923.050892084496,811.5021006958639
186.0,1.0,914.945118861024,1008.4148421312559
188.0,1.0,911.648100286528,1172.132997522352
190.0,1.0,917.313277095544,1283.437563382464
192.0,1.0,912.5784608491679,1319.953739489408
194.0,1.0,919.5084226431039,1323.3142006886721
196.0,1.0,900.268631839432,1324.836982006824
198.0,1.0,1061.7145827858,1283.43106174484
200.0,1.0,1040.10739306716,1099.739071015856
202.0,1.0,942.313020790112,1007.534531606848
204.0,1.0,893.148170570336,1111.433168879192
206.0,1.0,864.0747848064079,1063.124512643008
208.0,1.0,1040.986453846904,862.265757237064
210.0,1.0,1302.7401073512879,777.92280400652
212.0,1.0,1334.92811113056,731.3025601347281
214.0,1.0,1193.970992187104,735.571988826536
216.0,1.0,1025.712961334904,702.9540158819841
218.0,1.0,1018.979159862176,690.4315071845599
220.0,1.0,1029.475757798792,647.401745753928
222.0,1.0,1000.940572498872,605.184319630712
224.0,1.0,948.406765103936,557.5278864248639
226.0,1.0,893.1379534393681,475.92922242032
228.0,1.0,940.0215274274401,532.851188654232
230.0,1.0,918.156088028784,548.887193631576
232.0,1.0,888.6216215623681,722.3962716066001
234.0,1.0,856.819091286824,1036.25423153628
236.0,1.0,703.6389860528479,1131.285467411664
238.0,1.0,771.29892090096,1215.447400018616
240.0,1.0,914.2802083018801,1266.672104898384
